Locality,dist_brussels,dist_antwerp,dist_ghent,dist_liege,dist_bruges,dist_namur,dist_leuven,dist_sea
La Hulpe,16.387869735065184,54.60612963219194,64.97079026738993,77.59847761572873,103.27646130425154,39.879654854755564,22.19105488732097,105.33352050904148
La Louvière,42.87550754744085,83.68548878494535,71.9128071195683,99.94547408996928,105.54386858740078,48.584342612704674,57.43418688768481,113.75882962590256
La Roche-En-Ardenne,114.98566764714124,143.3476621085523,163.82208850423424,52.53294640755774,201.82269786745013,59.771594629736754,100.58301440572605,204.31613257723376
Laakdal,49.39023804739569,41.546992691248256,86.54070480462818,66.31552854352982,121.56779781696224,68.38412094573613,28.53447468607324,115.09544391997048
Laarne,40.38731473737828,43.924301380473246,9.69884185538672,129.21883708932293,48.02792485664045,95.25119010362027,61.827889769376135,50.09998534434981
Lacuisine,143.51162394317524,179.18686018397796,187.05721878095667,103.49709356932983,222.4559358184692,89.30848861412481,136.53788033628948,229.13631274703383
Laken,3.685626883099003,37.55106752971164,48.11875400054096,90.96806511890595,86.52965785959383,59.15024423460253,24.68303113148207,86.86524792170425
Lambusart,46.47844915918147,85.89351778412511,89.21241087188744,74.95353644950238,125.80665302392543,22.328311838618458,48.50343863904842,131.15135724993723
Lamorteau,167.69860296475318,203.1719373401118,211.03772587232,123.23265195512111,246.15051834218505,113.30892855885423,160.39730722306706,253.13559640904376
Lanaken,91.30061074734462,94.68961449727794,136.64620068982904,28.982496152384368,173.3113763068817,72.22609496547278,66.70911651418598,167.98365549814042
Landegem,59.35890841195591,60.20871925372322,9.984079903233122,148.67394914713688,29.29080714872751,112.7914180900996,81.40748166069156,36.17609360471528
Landen,52.40289073604167,70.33553898418468,101.33697827320432,37.57261484386012,139.52040564043034,35.02837415225368,30.24084769744362,137.74266497483066
